username,comment,link_video,publish_date,like_count,view_count
@najmamld,"Om ded kaya seneng bangga bgttt lihat mereka bahagia adem ayem apalagi lihat vidi yang bener* full senyum ceria dan dengan bangganya cerita soal sheila ,lekas sembuh vidi dan semoga till janah sama sheila. Aamiin",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@rezadimas3520,"Gila sabtu ini gue bahagia banget,sheila dtg ke podhub,dan selucu itu dia.....bahagia bgt pasti kak vidi",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Bahantoto_Official,Salut sama keterbukaan dan kejujuran Vidi & Sheila. Perjalanan cinta kalian itu bukti nyata kalau jodoh nggak akan kemana. Terima kasih sudah berbagi cerita yang inspiratif! Sukses selalu dalam karir dan percintaan!,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@linarain8402,"Ya Allah, beri vidi kesehatan & panjang umur, Krn energy nya membahagiakan banyak org.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@DWV99-Khusus-Sultan,"Dari awal cuma mau nonton iseng, eh malah dapet pelajaran soal sabar, cinta, dan kehidupan. Sehat terus ya Vidi, Sheila, dan Om Deddy",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Visi4d_MudahMaxwin,Baru Mulai aja udah pecahh  Makin betah sama konten nya,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@ekahdr,WAIT?AKHIRNYAAAAA,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@cchasagala,Terharu banget waktu denger sheila ngomong kurangnya vidi cuma bersinnya doang. Liat deh mata vidi itu terharu mau nangis dan aku jg berasa. Tuhan berkati kalian ya. Tuhan panjangkan umur kalian. Dan aku ngerti banget kenapa Vidi relate banget dengan film Sore 🥹,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@JuaraDiVisi4D,"Gila sih Sheila emang bener2  paling tau banget vidi ya, tau gimana cara nge treat dan bikin Happy si vidi",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@windyislamsari1811,"sesuai ekspektasi banget, liat sheila berkeliaran di podcast pasti ada di podhub dan ya finally worth to wait! seruuuu!!",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@onlyinriana9479,Menjadi vidi gak mudah tentunya dengan cobaannya tapi menjadi sheila pun gak mudah melihat orang yg disayangnya menghadapi cobaan itu dibalut rasa cuek tetapi dia yg paling besar rasa khawatirnya.. bertahan lebih lama ka vidi agar ka sheila tak kehilangan senyum bahagianya,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Runaaa_1,"Punya rumah tangga yang kaya vidi sheila tuh seru banget, berasa kaya besti bgt, jadi bebas dari munculnya tanda2 hierarki. Sama2 bertanggung jawab, saling support, saling pengertian. Langgeng ya kaliann",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@MainDiVisi4DMenang,"Parah wehh abis nonton ini gue bahagia banget,sheila dtg ke podhub,dan selucu itu dia.....bahagia bgt pasti kak vidi",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@galuhuriptrianingrum4256,"Pas nonton tu aq ketawa"" pokoknya happy bgtttt.... Tapi pas baca komen aq tu kaya nyes bgt dihati komen "" sahabat podhub tu positif n mbikin kaya kita tu jadi keluarga yg saling menyayangi. Terimakasih om ded dah mbikin acara se favorit ini",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@dewiisangajenic7009,"Mereka ga sweet2 an mereka biasa aja, tapi kenapa ya gw terharu liat mereka ..
Sehat2 vidi Shela
Bahagia selalu ya kalian",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@masndikamahrendra,"Ya Allah, panjangkanlah umur vidi

Lamakanlah kebersamaan mereka berdua di dunia 

Dan bersamakan kembali kelak mereka di syurgaMu. Amin",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@gi_s366,"part vidi bilang "" punya istri sheila dara siapa sih yang gaa insecure"" terdengar alami dan nyentuh banget walupun ngungkapinnya se-santai itu. Itu adalah contoh ketika hati ngungkapin",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Devi_Yang_,"Yeahhhh.....  
Akhirnya Ibu Negara di Podhub juga. 
Pasti trending nih.. 
Semoga Next datang lagi ya jangan cuma pas mo promo film aja",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@murdaningsiningsi2696,Alhamdulillah. Akhir nya bisa melihat sheila dara aysah. .lucu dan bnyk tertawa menonton podhub hari ini. Semoga semua nya selalu sehat terutama Vidi. Tetap semangat insyaallah Allah akan menyembuhkan sakit Vidi. Selalu sehat jg buat om Deddy yg SDH selalu support buat Vidi. Pasti akan nonton film sore. Sukses Sheila,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@IisNeni-j7g2w,"Podcast penuh tawa tp sedihh secara bersamaan dr awal smpe akhirr...
Semangat yaa vid, aku  juga lagi survive sm penyakit ginjalku.
Dan sllu berusaha terlihat bahagia di dpn anak, pdhl byk ketakutan yg dihadapi.
Bangun dan tdr msih dikasih nafas dan msih bersama org tersayang itu rasanya dunia baik2 aja",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@indahbeauty8182,MASYA ALLAH... TERIMA KASIH SHEILA UDAH MAU DATENG KE PODHUB. DAN INI EPISODE TER TER TER TERFAVORITE YANG PASTI BAKAL GW TONTON RATUSAN KALI SIH. KARNA PERPADUAN KAK ADHI DISITU TUH PAS BANGET JUGA KARNA DIA TAU TENTANG PERJALANAN KISAH CINTA SHEILA DAN VIDI. LOVE LOVE POKOKNYA,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
